// Monster Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
// Note: Keep the Sprite_Name field as it is in the game client.

//evento apollo
3068,PERE1,Ferre,Ferre,99999,2,1,3088,2392,1,930,1279,101,45,109,121,50,55,108,55,10,12,1,6,67,0x7,150,576,648,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


3069,PERE1,Ferre,Ferre,125,48430,1,3088,2392,1,930,1279,101,45,109,121,50,55,108,55,10,12,1,6,67,0x7,150,576,648,300,0,0,0,0,0,0,0,7004,2000,505,2000,993,1000,997,500,1934,200,0,0,0,0,0,0,0,0,0,0
3070,PERE2,Ferre,Ferre,126,40718,1,3088,2392,7,930,1279,101,45,109,121,50,55,108,55,10,12,1,6,67,0x37B5,150,576,648,300,0,0,0,0,0,0,0,7004,2000,504,2000,991,1000,995,500,1989,200,0,0,0,0,0,0,0,0,0,0
3071,PERE3,Ferre,Ferre,127,53290,1,3088,2392,1,930,1279,101,45,109,121,50,55,108,55,10,12,1,6,67,0x37B5,150,576,648,300,0,0,0,0,0,0,0,7004,2000,506,2000,992,1000,996,500,1934,200,0,0,0,0,0,0,0,0,0,0
3072,PERE4,Ferre,Ferre,125,48430,1,3088,2392,1,930,1279,101,45,109,121,50,55,108,55,10,12,1,6,67,0x37B5,150,576,648,300,0,0,0,0,0,0,0,7004,2000,505,2000,990,1000,994,500,1989,200,0,0,0,0,0,0,0,0,0,0
3073,GRAND_PERE,Awakened Ferre,Awakened Ferre,140,10000000,1,300000,300000,1,1540,2140,200,45,200,100,200,200,220,100,10,12,1,1,69,0x37B5,150,576,648,300,150000,616,5000,617,5000,617,5000,6719,9000,2990,100,2991,100,18122,10,18123,10,0,0,0,0,0,0,0,0,0,0
3108,JITTERBUG1,Jitterbug,Jitterbug,135,2614000,1,36804,21064,1,2892,4176,123,68,189,78,81,51,108,56,10,12,1,6,67,0x37B5,150,576,648,300,0,0,0,0,0,0,0,6719,5000,15100,1000,2989,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3109,JITTERBUG2,Jitterbug,Jitterbug,135,2614000,1,36804,21064,1,2892,4176,123,68,189,78,81,51,108,56,10,12,1,6,67,0x37B5,150,576,648,300,0,0,0,0,0,0,0,6719,5000,2988,1000,15101,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1023,PINGUICULA_D,Dark Pinguicula,Dark Pinguicula,83,8780,0,7740,5200,1,600,1450,15,5,1,23,22,12,89,2,10,12,1,3,45,0x308D,290,1426,600,360,0,0,0,0,0,0,0,7100,5000,7198,2000,7188,3000,972,10,6086,1000,0,0,0,0,0,0,0,0,0,0
1213,AQUA_ELEMENTAL,Aqua Elemental,Aqua Elemental,83,33220,0,5430,15300,1,400,1600,8,12,1,23,19,87,77,2,10,12,2,0,81,0x3095,230,504,960,576,0,0,0,0,0,0,0,6075,1000,7326,5000,12353,100,0,0,0,0,0,0,0,0,0,0,0,0,4443,1
1278,RATA,Rata,Rata,107,216600,0,70012,34000,1,8000,15000,32,52,1,51,22,132,99,15,10,12,1,7,62,0x3295,150,792,540,420,0,0,0,0,0,0,0,12346,5000,1026,5000,6089,500,1548,100,0,0,0,0,0,0,0,0,0,0,0,0
1106,DUNEYRR,Duneyrr,Duneyrr,107,265100,0,83030,52000,1,16000,19000,39,35,1,60,45,89,105,15,10,12,1,7,62,0x3295,200,672,420,360,0,0,0,0,0,0,0,515,5000,6020,4000,6089,500,2783,1,1188,10,1384,100,0,0,0,0,0,0,0,0
1189,ANCIENT_TREE,Ancient Tree,Ancient Tree,102,30030,0,11020,8900,1,13200,17400,39,43,1,30,73,58,45,30,10,12,2,3,62,0x308D,290,504,960,576,0,0,0,0,0,0,0,7197,1000,7198,1000,7201,5000,1643,10,2450,30,0,0,0,0,0,0,0,0,0,0
1627,RHYNCHO,Rhyncho,Rhyncho,85,18900,0,2040,6000,1,350,2300,5,19,1,56,12,35,89,10,10,12,1,0,61,0x308D,240,576,660,420,0,0,0,0,0,0,0,7326,5000,972,5,6087,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,PHYLLA,Phylla,Phylla,85,23880,0,3040,6600,10,350,2550,8,22,1,59,15,25,99,10,10,12,1,0,61,0x2085,240,360,780,432,0,0,0,0,0,0,0,7326,5000,971,5,6088,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1475,S_NYDHOG,Nidhoggr's Shadow,Nidhoggr's Shadow,117,3450000,0,4800000,3900000,2,17000,49000,60,75,1,34,62,236,188,34,10,12,2,9,87,0x6283695,150,1596,1620,864,2400000,617,5500,617,5000,616,2000,6091,5000,7444,5000,2610,5000,1484,500,1170,500,1417,500,2554,2000,0,0,0,0,0,0

1836,BONECO_TREINO,Boneco de Treino,Boneco de Treino,1,-1,0,1,1,1,1,1,1,1,100,100,100,100,100,100,10,12,1,0,20,0x6200000,300,1472,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1188,BON_GUN,Tronco de Madeira,Tronco de Madeira,1,10,0,0,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,22,0x00000040,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1080,GREEN_PLANT,Erva Daninha,Erva Daninha,1,10,0,0,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,22,0x170000,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1051,BIKOUCHUU,Bikouchuu,Bikouchuu,1,10,0,0,0,1,20,24,5,0,24,6,24,24,45,36,10,12,0,4,20,0x281,150,1288,288,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1079,Planta_de_Konoha,Planta de Konoha,Planta de Konoha,1,10,0,5,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,20,70713376,2000,1,1,1,10,0,0,0,0,0,0,748,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,Planta_da_Suna,Planta da Suna,Planta da Suna,1,10,0,5,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,20,70713376,2000,1,1,1,10,0,0,0,0,0,0,749,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,Planta_da_Névoa,Planta da Névoa,Planta da Névoa,1,10,0,5,0,1,1,2,100,99,0,0,0,0,0,90,7,12,0,3,20,70713376,2000,1,1,1,10,0,0,0,0,0,0,750,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,Planta_da_Nuvem,Planta da Nuvem,Planta da Nuvem,1,10,0,5,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,20,70713376,2000,1,1,1,10,0,0,0,0,0,0,751,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1082,Planta_Medicinal,Planta Medicinal,Planta Medicinal,1,10,0,0,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,22,0x00000040,2000,1,1,1,0,0,0,0,0,0,0,752,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

// ---------------------- MVP's ----------------------
2476,MG_AMDARAIS,Amdarias,Amdarias,999,12000000,1,0,0,3,31000,32000,50,35,700,200,100,700,800,100,10,12,2,1,80,0x6283695,120,312,356,432,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,300,5257,30,0,0
3097,MM_MOROCC_ADT,Despair God Morroc,Despair God Morroc,999,1283990,1,0,0,2,1060,2022,32,66,140,99,30,109,100,90,10,12,2,2,63,0x6283695,200,1152,1152,576,1000,0,0,0,0,0,753,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2996,XM_CELINE_KIMI,Celine Kimi,Celine Kimi,999,66666666,1,0,0,2,5636,8303,479,444,144,166,44,444,166,166,10,12,2,1,28,0x6283695,100,768,1056,480,1000,0,0,0,0,0,0,753,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1708,THANATOS,Thanatos,Thanatos Phantom,999,1445660,1,0,0,3,3812,5483,364,35,100,129,30,86,206,32,10,12,2,6,88,0x6283695,120,115,816,504,1000,0,0,0,0,0,0,753,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2446,EZELLA,Ezella,Ezella,999,270000,1,0,0,1,666,895,68,13,108,113,60,72,148,37,10,12,1,7,64,0x6283695,160,432,400,288,1000,0,0,0,0,0,0,753,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2362,N_AMON_RA,Nightmare Amon Ra,Amon Ra (Nightmare),999,2515784,1,0,0,3,4106,7307,367,301,86,89,120,131,101,92,14,12,2,7,62,0x6280084,170,854,2016,480,1000,0,0,0,0,0,0,753,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2447,LUNE,Mamãe Noel,Mamãe Noel,999,30000000,0,100000,800,1,50000,60000,55,60,1000,250,400,1000,400,400,10,12,1,5,20,0x6203695,200,500,1500,384,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,300,31157,50,31160,50,0,0,0,0,0,0

// MVPs Rank A
2202,KRAKEN,Kraken,Kraken,999,12000000,1,0,0,3,32000,32000,55,35,800,200,100,900,900,100,10,12,2,5,80,0x6283695,150,357,357,576,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,300,5249,30,0,0
2068,BOITATA,Boitata,Boitata,999,12000000,1,0,0,3,31000,32000,50,35,700,200,100,700,800,100,10,12,2,1,80,0x6283695,120,312,356,432,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316,10000,900,300,5257,30,0,0

// MVPs Rank B
1734,KIEL_,Kiel D-01,Kiel D-01,800,8500000,1,0,0,3,31000,32000,50,35,600,200,100,600,800,150,10,12,1,0,40,0x6283695,130,1152,576,432,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,300,5018,30,0,0
3096,MM_MOROCC_KID,Kidd,Kidd,800,8500000,1,0,0,3,30000,32000,50,35,600,200,100,600,800,100,10,12,2,2,60,0x6283695,150,376,376,576,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,300,5020,30,0,0

// ----------------------- Guerra Ninja -----------------------
1288,EMPELIUM,Emperium,Emperium,999,150000,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,70713376,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1943,TREASURE_BOX46,Treasure Chest,Treasure Chest,999,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,20,0x6200000,0,0,0,0,0,0,0,0,0,0,0,7017,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,TREASURE_BOX1,Treasure Chest,Treasure Chest,999,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,20,0x6200000,0,0,0,0,0,0,0,0,0,0,0,7018,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1899,SWORD_GUARDIAN_,Sword Guardian,Sword Guardian,86,500000,0,0,0,2,7590,9140,60,33,110,40,54,65,125,65,14,16,2,0,80,0x4202085,170,140,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,BARRICADE,Barricade,Barricade,999,300,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,70713376,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,BARRICADE_,Barricade,Barricade,999,300,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,70713376,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

